date,Painkiller,Maitai,Tequil,Vodka,Rum,Gin,Bourbon,draft,domestic
11/01/2022,4,6,8,,1,4,4,,
11/02/2022,6,4,3,,2,1,5,,
11/03/2022,7,9,4,3,2,5,3,,
11/04/2022,4,2,1,1,1,3,,,
11/05/2022,6,6,1,,2,4,,,
11/06/2022,2,1,8,9,4,3,2,1,
11/08/2022,10,4,10,1,5,4,2,1,
11/09/2022,,3,7,5,,,2,,
11/10/2022,8,8,4,4,3,2,2,,
11/11/2022,2,3,9,4,4,,2,5,
11/12/2022,4,10,9,6,3,4,,,4
11/13/2022,8,2,1,8,2,5,3,,
11/15/2022,3,10,3,4,5,3,4,3,
11/16/2022,10,1,,9,3,5,5,,
11/17/2022,10,,1,10,,1,,5,
11/18/2022,3,2,8,6,7,2,4,2,2
11/19/2022,4,6,4,,,3,5,,
11/20/2022,4,7,9,1,5,1,5,,
11/22/2022,7,6,6,,5,3,,,
11/23/2022,5,1,,2,2,5,5,,
11/25/2022,8,7,7,1,3,,2,,
11/26/2022,3,1,5,5,1,3,,,
01/03/2023,4,3,4,,5,1,,,4
01/04/2023,3,5,4,3,4,3,1,1,
01/05/2023,,2,5,4,1,2,3,3,
01/06/2023,6,1,5,4,4,3,2,4,
01/07/2023,3,7,1,1,5,2,3,5,
01/08/2023,5,6,4,5,4,,,,
01/10/2023,4,4,3,5,5,2,4,,2
01/11/2023,4,5,5,6,4,5,1,,
01/12/2023,4,4,3,5,,5,,,
01/13/2023,4,5,7,5,4,5,1,,
01/14/2023,4,3,9,1,5,1,,,
01/15/2023,4,10,9,2,2,5,1,,
01/17/2023,4,,7,5,1,,4,,
01/18/2023,5,6,1,1,3,4,,,
01/19/2023,2,6,8,4,2,1,4,,
01/20/2023,3,2,8,6,7,2,4,2,2
01/21/2023,6,,3,4,2,,3,,
01/22/2023,4,9,7,6,1,4,,,
01/24/2023,3,9,,2,5,,1,,
01/25/2023,3,,8,6,3,4,1,,
01/26/2023,4,3,9,2,5,,2,,9
01/27/2023,4,4,10,9,4,1,2,,
01/28/2023,1,4,,4,4,3,3,,
01/29/2023,,3,2,,,,,,
01/31/2023,1,10,6,6,2,4,5,,
02/01/2023,6,1,4,8,4,1,4,,
02/02/2023,7,,4,5,2,3,2,,
02/03/2023,10,,7,5,,5,4,,
02/04/2023,7,2,9,6,2,3,,,
02/05/2023,5,1,2,9,3,,1,,
02/07/2023,7,,5,,2,5,1,,
02/08/2023,10,4,4,4,,4,4,,
02/09/2023,,8,3,6,4,1,5,,
02/10/2023,5,2,,1,2,1,,,
02/11/2023,9,5,4,1,4,1,3,2,
02/12/2023,5,6,9,4,4,3,2,,
02/14/2023,4,3,1,1,3,,4,,
02/15/2023,2,10,2,2,5,,,4,
02/16/2023,7,8,,5,2,5,5,,
02/17/2023,4,1,9,7,2,1,3,4,
02/18/2023,7,8,7,,2,3,3,,
02/19/2023,5,9,1,6,3,2,,,4
02/21/2023,1,3,5,,,,5,,
02/22/2023,1,7,3,3,3,3,5,,
02/23/2023,2,3,9,6,5,,,,8
02/24/2023,1,4,4,10,2,1,4,4,
02/25/2023,,9,5,3,4,2,,10,12
02/26/2023,1,7,9,6,4,,3,,2
02/28/2023,5,12,,5,2,,1,2,
03/01/2023,4,10,3,9,2,,5,,
03/02/2023,6,,2,3,3,1,,,
03/03/2023,,3,2,9,4,3,3,,3
03/04/2023,9,2,9,3,2,4,3,,
03/05/2023,10,2,10,4,3,4,1,,
03/07/2023,9,3,8,9,4,1,,4,
03/08/2023,5,5,1,,1,5,2,1,
03/09/2023,7,7,2,9,,,1,,
03/10/2023,8,2,2,1,5,1,4,2,3
03/11/2023,1,2,2,,2,,1,8,7
03/12/2023,7,5,6,1,2,1,2,,
03/14/2023,2,,2,6,,2,4,2,4
03/15/2023,3,2,9,1,2,1,,,
03/16/2023,1,4,9,10,2,2,3,,
03/17/2023,1,4,10,5,8,1,4,1,10
03/18/2023,2,6,7,2,3,2,1,,
03/19/2023,4,10,7,9,3,2,,,
03/21/2023,1,7,4,6,1,4,3,,
03/22/2023,2,,6,3,5,,,,
03/23/2023,10,7,3,5,1,,,1,
03/24/2023,10,7,3,7,5,5,5,,
03/25/2023,7,3,1,,5,5,4,,
03/26/2023,6,10,8,9,2,4,5,,
03/28/2023,,6,5,8,4,,3,,
03/29/2023,4,5,9,1,3,4,3,,5
03/30/2023,2,5,9,6,1,,,1,6
03/31/2023,7,15,4,1,3,5,,4,
04/01/2023,2,7,3,5,2,5,3,13,9
04/02/2023,,1,6,,1,1,5,3,4
04/04/2023,8,1,10,9,4,,1,3,4
04/05/2023,3,2,9,8,1,5,5,,5
04/06/2023,3,1,3,,3,,1,2,
04/07/2023,1,7,7,,,2,,,
04/08/2023,5,,1,4,1,5,,6,7
04/11/2023,6,10,4,3,3,5,4,,
04/12/2023,4,,,1,2,,5,,
04/13/2023,,5,,,4,4,3,,
04/14/2023,8,9,4,6,1,2,5,2,
04/15/2023,,8,3,10,2,2,1,,
04/16/2023,8,5,8,4,,2,4,,
04/18/2023,6,6,5,10,2,,,,
04/19/2023,6,7,8,3,5,3,5,1,
04/20/2023,1,9,1,4,,2,,1,
04/21/2023,4,1,9,7,2,1,3,4,
04/22/2023,2,4,1,6,5,4,,8,8
04/23/2023,8,9,,10,4,2,,1,
04/25/2023,2,,7,,1,5,,,
04/26/2023,,5,9,6,5,,3,4,
04/27/2023,4,1,11,10,,,,,5
04/28/2023,1,2,5,6,2,2,,,
04/29/2023,,3,9,4,3,3,1,,
04/30/2023,7,13,,8,2,,4,,
05/02/2023,4,4,3,5,3,5,5,,
05/03/2023,1,4,8,6,1,5,2,2,
05/04/2023,1,3,10,1,2,4,5,,
05/05/2023,7,9,8,9,1,4,3,1,
05/06/2023,5,2,2,3,4,,4,5,9
05/07/2023,7,,,,2,1,5,,
05/09/2023,6,,,7,3,3,,,
05/10/2023,10,4,6,9,5,2,5,4,
05/11/2023,4,10,,4,1,5,,1,
05/12/2023,10,2,2,6,5,,,,
05/13/2023,5,2,6,2,3,4,2,,
05/14/2023,3,10,8,8,5,5,2,,5
05/16/2023,1,8,4,,2,1,,,
05/17/2023,8,4,2,3,4,4,2,6,7
05/18/2023,7,,5,2,,3,,5,4
05/19/2023,3,2,8,6,7,2,4,2,2
05/20/2023,1,8,1,1,2,3,4,6,5
05/21/2023,4,4,10,,1,2,2,,
05/23/2023,5,3,9,10,5,2,3,,
05/24/2023,7,1,7,8,5,1,4,,
05/25/2023,,3,6,6,4,,3,,7
05/26/2023,9,3,1,2,1,4,1,5,
